Attribute Name,Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT
@vendor,0,,,,,,
@standard,RFC 3588,,,,,,
#=,,,,,,,
# RFC 3588 - Diameter #,,,,,,,
#=,,,,,,,
#,,,,,,,
Acct-Interim-Interval,85,9.8.2,Unsigned32,M,P,,V
Accounting-Realtime-Required,483,9.8.7,Enumerated,M,P,,V
Acct-Multi-Session-Id,50,9.8.5,UTF8String,M,P,,V
Accounting-Record-Number,485,9.8.3,Unsigned32,M,P,,V
Accounting-Record-Type,480,9.8.1,Enumerated,M,P,,V
Accounting-Session-Id,44,9.8.4,OctetString,M,P,,V
Accounting-Sub-Session-Id,287,9.8.6,Unsigned64,M,P,,V
Acct-Application-Id,259,6.9,Unsigned32,M,P,,V
Auth-Application-Id,258,6.8,Unsigned32,M,P,,V
Auth-Request-Type,274,8.7,Enumerated,M,P,,V
Authorization-Lifetime,291,8.9,Unsigned32,M,P,,V
Auth-Grace-Period,276,8.10,Unsigned32,M,P,,V
Auth-Session-State,277,8.11,Enumerated,M,P,,V
Re-Auth-Request-Type,285,8.12,Enumerated,M,P,,V
Class,25,8.20,OctetString,M,P,,V
Destination-Host,293,6.5,DiameterIdentity,M,P,,V
Destination-Realm,283,6.6,DiameterIdentity,M,P,,V
Disconnect-Cause,273,5.4.3,Enumerated,M,P,,V
E2E-Sequence-AVP,300,6.15,Grouped,M,P,,V
Error-Message,281,7.3,UTF8String,,P,,"V,M"
Error-Reporting-Host,294,7.4,DiameterIdentity,,P,,"V,M"
Event-Timestamp,55,8.21,Time,M,P,,V
Experimental-Result,297,7.6,Grouped,M,P,,V
Experimental-Result-Code,298,7.7,Unsigned32,M,P,,V
Failed-AVP,279,7.5,Grouped,M,P,,V
Firmware-Revision,267,5.3.4,Unsigned32,,,,"P,V,M"
Host-IP-Address,257,5.3.5,Address,M,P,,V
Inband-Security-Id,299,6.10,Unsigned32,M,P,,V
Multi-Round-Time-Out,272,8.19,Unsigned32,M,P,,V
Origin-Host,264,6.3,DiameterIdentity,M,P,,V
Origin-Realm,296,6.4,DiameterIdentity,M,P,,V
Origin-State-Id,278,8.16,Unsigned32,M,P,,V
Product-Name,269,5.3.7,UTF8String,,,,"P,V,M"
Proxy-Host,280,6.7.3,DiameterIdentity,M,,,"P,V"
Proxy-Info,284,6.7.2,Grouped,M,,,"P,V"
Proxy-State,33,6.7.4,OctetString,M,,,"P,V"
Redirect-Host,292,6.12,DiameterURI,M,P,,V
Redirect-Host-Usage,261,6.13,Enumerated,M,P,,V
Redirect-Max-Cache-Time,262,6.14,Unsigned32,M,P,,V
Result-Code,268,7.1,Unsigned32,M,P,,V
Route-Record,282,6.7.1,DiameterIdentity,M,,,"P,V"
Session-Id,263,8.8,UTF8String,M,P,,V
Session-Timeout,27,8.13,Unsigned32,M,P,,V
Session-Binding,270,8.17,Unsigned32,M,P,,V
Session-Server-Failover,271,8.18,Enumerated,M,P,,V
Supported-Vendor-Id,265,5.3.6,Unsigned32,M,P,,V
Termination-Cause,295,8.15,Enumerated,M,P,,V
User-Name,1,8.14,UTF8String,M,P,,V
Vendor-Id,266,5.3.3,Unsigned32,M,P,,V
Vendor-Specific-Application-Id,260,6.11,Grouped,M,P,,V
@standard,RFC 4005,,,,,,
#=,,,,,,,
# RFC 4005 - NAS #,,,,,,,
#=,,,,,,,
#,,,,,,,
NAS-Port,5,4.2,Unsigned32,M,P,,V
NAS-Port-Id,87,4.3,UTF8String,M,P,,V
NAS-Port-Type,61,4.4,Enumerated,M,P,,V
Called-Station-Id,30,4.5,UTF8String,M,P,,V
Calling-Station-Id,31,4.6,UTF8String,M,P,,V
Connect-Info,77,4.7,UTF8String,M,P,,V
Originating-Line-Info,94,4.8,OctetString,,"M,P",,V
Reply-Message,18,4.9,UTF8String,M,P,,V
User-Password,2,5.1,OctetString,M,P,,V
Password-Retry,75,5.2,Unsigned32,M,P,,V
Prompt,76,5.3,Enumerated,M,P,,V
CHAP-Auth,402,5.4,Grouped,M,P,,V
CHAP-Algorithm,403,5.5,Enumerated,M,P,,V
CHAP-Ident,404,5.6,OctetString,M,P,,V
CHAP-Response,405,5.7,OctetString,M,P,,V
CHAP-Challenge,60,5.8,OctetString,M,P,,V
ARAP-Password,70,5.9,OctetString,M,P,,V
ARAP-Challenge-Response,84,5.10,OctetString,M,P,,V
ARAP-Security,73,5.11,Unsigned32,M,P,,V
ARAP-Security-Data,74,5.12,OctetString,M,P,,V
Service-Type,6,6.1,Enumerated,M,P,,V
Callback-Number,19,6.2,UTF8String,M,P,,V
Callback-Id,20,6.3,UTF8String,M,P,,V
Idle-Timeout,28,6.4,Unsigned32,M,P,,V
Port-Limit,62,6.5,Unsigned32,M,P,,V
NAS-Filter-Rule,400,6.6,IPFilterRule,M,P,,V
Filter-Id,11,6.7,UTF8String,M,P,,V
Configuration-Token,78,6.8,OctetString,M,,,"P,V"
QoS-Filter-Rule,407,6.9,QoSFilterRule,,,,
Framed-Protocol,7,6.10.1,Enumerated,M,P,,V
Framed-Routing,10,6.10.2,Enumerated,M,P,,V
Framed-MTU,12,6.10.3,Unsigned32,M,P,,V
Framed-Compression,13,6.10.4,Enumerated,M,P,,V
Framed-IP-Address,8,6.11.1,OctetString,M,P,,V
Framed-IP-Netmask,9,6.11.2,OctetString,M,P,,V
Framed-Route,22,6.11.3,UTF8String,M,P,,V
Framed-Pool,88,6.11.4,OctetString,M,P,,V
Framed-Interface-Id,96,6.11.5,Unsigned64,M,P,,V
Framed-IPv6-Prefix,97,6.11.6,OctetString,M,P,,V
Framed-IPv6-Route,99,6.11.7,UTF8String,M,P,,V
Framed-IPv6-Pool,100,6.11.8,OctetString,M,P,,V
Framed-IPX-Network,23,6.12.1,UTF8String,M,P,,V
Framed-Appletalk-Link,37,6.13.1,Unsigned32,M,P,,V
Framed-Appletalk-Network,38,6.13.2,Unsigned32,M,P,,V
Framed-Appletalk-Zone,39,6.13.3,OctetString,M,P,,V
ARAP-Features,71,6.14.1,OctetString,M,P,,V
ARAP-Zone-Access,72,6.14.2,Enumerated,M,P,,V
Login-IP-Host,14,6.15.1,OctetString,M,P,,V
Login-IPv6-Host,98,6.15.2,OctetString,M,P,,V
Login-Service,15,6.15.3,Enumerated,M,P,,V
Login-TCP-Port,16,6.16.1,Unsigned32,M,P,,V
Login-LAT-Service,34,6.17.1,OctetString,M,P,,V
Login-LAT-Node,35,6.17.2,OctetString,M,P,,V
Login-LAT-Group,36,6.17.3,OctetString,M,P,,V
Login-LAT-Port,63,6.17.4,OctetString,M,P,,V
Tunneling,401,7.1,Grouped,M,P,,V
Tunnel-Type,64,7.2,Enumerated,M,P,,V
Tunnel-Medium-Type,65,7.3,Enumerated,M,P,,V
Tunnel-Client-Endpoint,66,7.4,UTF8String,M,P,,V
Tunnel-Server-Endpoint,67,7.5,UTF8String,M,P,,V
Tunnel-Password,69,7.6,OctetString,M,P,,V
Tunnel-Private-Group-Id,81,7.7,OctetString,M,P,,V
Tunnel-Assignment-Id,82,7.8,OctetString,M,P,,V
Tunnel-Preference,83,7.9,Unsigned32,M,P,,V
Tunnel-Client-Auth-Id,90,7.10,UTF8String,M,P,,V
Tunnel-Server-Auth-Id,91,7.11,UTF8String,M,P,,V
Accounting-Input-Octets,363,8.1,Unsigned64,M,P,,V
Accounting-Output-Octets,364,8.2,Unsigned64,M,P,,V
Accounting-Input-Packets,365,8.3,Unsigned64,M,P,,V
Accounting-Output-Packets,366,8.4,Unsigned64,M,P,,V
Acct-Session-Time,46,8.5,Unsigned32,M,P,,V
Acct-Authentic,45,8.6,Enumerated,M,P,,V
Acounting-Auth-Method,406,8.7,Enumerated,M,P,,V
Acct-Delay-Time,41,8.8,Unsigned32,M,P,,V
Acct-Link-Count,51,8.9,Unsigned32,M,P,,V
Acct-Tunnel-Connection,68,8.10,OctetString,M,P,,V
Acct-Tunnel-Packets-Lost,86,8.11,Unsigned32,M,P,,V
NAS-Identifier,32,9.3.1,UTF8String,M,P,,V
NAS-IP-Address,4,9.3.2,OctetString,M,P,,V
NAS-IPv6-Address,95,9.3.3,OctetString,M,P,,V
State,24,9.3.4,OctetString,M,P,,V
# Termination-Cause already in RFC 3588,295,9.3.5,Enumerated,M,P,,V
#,,,,,,,
Origin-AAA-Protocol,408,9.3.6,Enumerated,M,P,,V
@standard,RFC 4006,,,,,,
#=,,,,,,,
# RFC 4006 - DCCA #,,,,,,,
#=,,,,,,,
#,,,,,,,
CC-Correlation-Id,411,8.1,OctetString,,"P,M",,V
CC-Input-Octets,412,8.24,Unsigned64,M,P,,V
CC-Money,413,8.22,Grouped,M,P,,V
CC-Output-Octets,414,8.25,Unsigned64,M,P,,V
CC-Request-Number,415,8.2,Unsigned32,M,P,,V
CC-Request-Type,416,8.3,Enumerated,M,P,,V
CC-Service-Specific-Units,417,8.26,Unsigned64,M,P,,V
CC-Session-Failover,418,8.4,Enumerated,M,P,,V
CC-Sub-Session-Id,419,8.5,Unsigned64,M,P,,V
CC-Time,420,8.21,Unsigned32,M,P,,V
CC-Total-Octets,421,8.23,Unsigned64,M,P,,V
CC-Unit-Type,454,8.32,Enumerated,M,P,,V
Check-Balance-Result,422,8.6,Enumerated,M,P,,V
Cost-Information,423,8.7,Grouped,M,P,,V
Cost-Unit,424,8.12,UTF8String,M,P,,V
Credit-Control,426,8.13,Enumerated,M,P,,V
Credit-Control-Failure-Handling,427,8.14,Enumerated,M,P,,V
Currency-Code,425,8.11,Unsigned32,M,P,,V
Direct-Debiting-Failure-Handling,428,8.15,Enumerated,M,P,,V
Exponent,429,8.9,Integer32,M,P,,V
Final-Unit-Action,449,8.35,Enumerated,M,P,,V
Final-Unit-Indication,430,8.34,Grouped,M,P,,V
Granted-Service-Unit,431,8.17,Grouped,M,P,,V
G-S-U-Pool-Identifier,453,8.31,Unsigned32,M,P,,V
G-S-U-Pool-Reference,457,8.30,Grouped,M,P,,V
Multiple-Services-Credit-Control,456,8.16,Grouped,M,P,,V
Multiple-Services-Indicator,455,8.40,Enumerated,M,P,,V
Rating-Group,432,8.29,Unsigned32,M,P,,V
Redirect-Address-Type,433,8.38,Enumerated,M,P,,V
Redirect-Server,434,8.37,Grouped,M,P,,V
Redirect-Server-Address,435,8.39,UTF8String,M,P,,V
Requested-Action,436,8.41,Enumerated,M,P,,V
Requested-Service-Unit,437,8.18,Grouped,M,P,,V
Restriction-Filter-Rule,438,8.36,IPFilterRule,M,P,,V
Service-Context-Id,461,8.42,UTF8String,M,P,,V
Service-Identifier,439,8.28,Unsigned32,M,P,,V
Service-Parameter-Info,440,8.43,Grouped,,"P,M",,V
Service-Parameter-Type,441,8.44,Unsigned32,,"P,M",,V
Service-Parameter-Value,442,8.45,OctetString,,"P,M",,V
Subscription-Id,443,8.46,Grouped,M,P,,V
Subscription-Id-Data,444,8.48,UTF8String,M,P,,V
Subscription-Id-Type,450,8.47,Enumerated,M,P,,V
Tariff-Change-Usage,452,8.27,Enumerated,M,P,,V
Tariff-Time-Change,451,8.20,Time,M,P,,V
Unit-Value,445,8.8,Grouped,M,P,,V
Used-Service-Unit,446,8.19,Grouped,M,P,,V
User-Equipment-Info,458,8.49,Grouped,,"P,M",,V
User-Equipment-Info-Type,459,8.50,Enumerated,,"P,M",,V
User-Equipment-Info-Value,460,8.51,OctetString,,"P,M",,V
Value-Digits,447,8.10,Integer64,M,P,,V
Validity-Time,448,8.33,Unsigned32,M,P,,V
